epoch,rrse,r2,final_loss
0,0.6418,0.6320,0.0305
1,0.5846,0.6946,0.0253
2,0.5601,0.7196,0.0232
3,0.5497,0.7300,0.0224
4,0.5393,0.7401,0.0216
5,0.5332,0.7460,0.0211
6,0.5338,0.7453,0.0211
7,0.5259,0.7528,0.0205
8,0.5223,0.7562,0.0202
9,0.5214,0.7570,0.0202
10,0.5383,0.7411,0.0215
11,0.5153,0.7627,0.0197
12,0.5170,0.7611,0.0198
13,0.5214,0.7571,0.0201
14,0.5131,0.7647,0.0195
15,0.5129,0.7649,0.0195
16,0.5114,0.7663,0.0194
17,0.5105,0.7671,0.0193
18,0.5097,0.7678,0.0193
19,0.5120,0.7658,0.0194
20,0.5121,0.7657,0.0194
21,0.5119,0.7659,0.0194
22,0.5102,0.7674,0.0193
23,0.5056,0.7716,0.0189
24,0.5136,0.7643,0.0195
25,0.5104,0.7672,0.0193
26,0.5080,0.7694,0.0191
27,0.5093,0.7682,0.0192
28,0.5079,0.7695,0.0191
29,0.5086,0.7688,0.0192
30,0.5083,0.7691,0.0191
31,0.5081,0.7693,0.0191
32,0.5055,0.7717,0.0189
33,0.5099,0.7677,0.0193
34,0.5072,0.7701,0.0191
35,0.5092,0.7683,0.0192
36,0.5128,0.7651,0.0195
37,0.5057,0.7715,0.0189
38,0.5062,0.7710,0.0190
39,0.5101,0.7675,0.0193
40,0.5048,0.7723,0.0189
41,0.5050,0.7721,0.0189
42,0.5099,0.7677,0.0193
43,0.5039,0.7731,0.0188
44,0.5063,0.7710,0.0190
45,0.5037,0.7732,0.0188
46,0.5085,0.7689,0.0192
47,0.5031,0.7738,0.0188
48,0.5073,0.7700,0.0191
49,0.5024,0.7744,0.0187
50,0.5047,0.7724,0.0189
51,0.5027,0.7742,0.0187
52,0.5038,0.7732,0.0188
53,0.5162,0.7619,0.0197
54,0.5098,0.7677,0.0193
55,0.5106,0.7670,0.0193
56,0.5032,0.7738,0.0188
57,0.5076,0.7697,0.0191
58,0.5081,0.7693,0.0191
59,0.5050,0.7721,0.0189
60,0.5158,0.7622,0.0197
61,0.5079,0.7695,0.0191
62,0.5047,0.7724,0.0189
63,0.5052,0.7719,0.0189
64,0.5113,0.7663,0.0194
65,0.5074,0.7699,0.0191
66,0.5069,0.7704,0.0190
67,0.5077,0.7696,0.0191
68,0.5075,0.7699,0.0191
69,0.5129,0.7649,0.0195
70,0.5061,0.7711,0.0190
71,0.5090,0.7685,0.0192
72,0.5091,0.7684,0.0192
73,0.5062,0.7711,0.0190
74,0.5065,0.7708,0.0190
75,0.5075,0.7698,0.0191
76,0.5097,0.7679,0.0192
77,0.5074,0.7699,0.0191
78,0.5086,0.7689,0.0192
79,0.5133,0.7646,0.0195
80,0.5104,0.7672,0.0193
