epoch,rrse,r2,final_loss
0,0.5838,0.6848,0.0053
1,0.5357,0.7346,0.0044
2,0.5153,0.7545,0.0041
3,0.4986,0.7701,0.0038
4,0.4856,0.7819,0.0036
5,0.4807,0.7863,0.0036
6,0.4630,0.8018,0.0033
7,0.4625,0.8022,0.0033
8,0.4462,0.8159,0.0031
9,0.4420,0.8193,0.0030
10,0.4385,0.8222,0.0030
11,0.4317,0.8277,0.0029
12,0.4218,0.8355,0.0027
13,0.4135,0.8419,0.0026
14,0.4062,0.8474,0.0025
15,0.4061,0.8475,0.0025
16,0.3977,0.8538,0.0024
17,0.4007,0.8515,0.0025
18,0.3886,0.8604,0.0023
19,0.3862,0.8621,0.0023
20,0.3821,0.8650,0.0023
21,0.3816,0.8653,0.0022
22,0.3790,0.8672,0.0022
23,0.3787,0.8674,0.0022
24,0.3752,0.8698,0.0022
25,0.3738,0.8708,0.0022
26,0.3744,0.8704,0.0022
27,0.3747,0.8702,0.0022
28,0.3712,0.8726,0.0021
29,0.3688,0.8742,0.0021
30,0.3708,0.8728,0.0021
31,0.3689,0.8742,0.0021
32,0.3668,0.8756,0.0021
33,0.3680,0.8748,0.0021
34,0.3662,0.8760,0.0021
35,0.3657,0.8763,0.0021
36,0.3697,0.8736,0.0021
37,0.3665,0.8758,0.0021
38,0.3655,0.8764,0.0021
39,0.3629,0.8782,0.0020
40,0.3628,0.8783,0.0020
41,0.3663,0.8759,0.0021
42,0.3614,0.8792,0.0020
43,0.3598,0.8803,0.0020
44,0.3605,0.8798,0.0020
45,0.3594,0.8806,0.0020
46,0.3588,0.8809,0.0020
47,0.3588,0.8809,0.0020
48,0.3575,0.8818,0.0020
49,0.3574,0.8819,0.0020
50,0.3575,0.8818,0.0020
51,0.3571,0.8821,0.0020
52,0.3597,0.8803,0.0020
53,0.3579,0.8816,0.0020
54,0.3568,0.8823,0.0020
55,0.3559,0.8828,0.0020
56,0.3569,0.8822,0.0020
57,0.3565,0.8825,0.0020
58,0.3566,0.8824,0.0020
59,0.3568,0.8823,0.0020
60,0.3544,0.8839,0.0019
61,0.3558,0.8830,0.0020
62,0.3578,0.8816,0.0020
63,0.3560,0.8828,0.0020
64,0.3553,0.8833,0.0019
65,0.3570,0.8821,0.0020
66,0.3561,0.8828,0.0020
67,0.3549,0.8835,0.0019
68,0.3546,0.8837,0.0019
69,0.3576,0.8817,0.0020
70,0.3548,0.8836,0.0019
71,0.3586,0.8811,0.0020
72,0.3554,0.8832,0.0019
73,0.3569,0.8822,0.0020
74,0.3560,0.8828,0.0020
75,0.3553,0.8832,0.0019
76,0.3585,0.8811,0.0020
77,0.3580,0.8815,0.0020
78,0.3586,0.8811,0.0020
79,0.3582,0.8814,0.0020
80,0.3587,0.8810,0.0020
81,0.3549,0.8835,0.0019
82,0.3587,0.8810,0.0020
83,0.3551,0.8834,0.0019
84,0.3585,0.8812,0.0020
85,0.3585,0.8811,0.0020
86,0.3542,0.8840,0.0019
87,0.3587,0.8810,0.0020
88,0.3552,0.8833,0.0019
89,0.3578,0.8816,0.0020
90,0.3557,0.8830,0.0020
91,0.3575,0.8818,0.0020
92,0.3558,0.8829,0.0020
93,0.3550,0.8835,0.0019
94,0.3541,0.8840,0.0019
95,0.3557,0.8830,0.0020
96,0.3546,0.8837,0.0019
97,0.3534,0.8845,0.0019
98,0.3533,0.8846,0.0019
99,0.3553,0.8833,0.0020
100,0.3546,0.8837,0.0019
101,0.3533,0.8846,0.0019
102,0.3540,0.8841,0.0019
103,0.3521,0.8854,0.0019
104,0.3564,0.8826,0.0020
105,0.3533,0.8845,0.0019
106,0.3539,0.8842,0.0019
107,0.3538,0.8843,0.0019
108,0.3522,0.8853,0.0019
109,0.3555,0.8831,0.0020
110,0.3563,0.8826,0.0020
111,0.3528,0.8849,0.0019
112,0.3516,0.8857,0.0019
113,0.3543,0.8839,0.0019
114,0.3507,0.8863,0.0019
115,0.3525,0.8851,0.0019
116,0.3544,0.8839,0.0019
117,0.3537,0.8843,0.0019
118,0.3536,0.8844,0.0019
119,0.3512,0.8859,0.0019
120,0.3528,0.8849,0.0019
121,0.3544,0.8839,0.0019
122,0.3525,0.8851,0.0019
123,0.3557,0.8830,0.0020
124,0.3515,0.8858,0.0019
125,0.3535,0.8845,0.0019
126,0.3534,0.8845,0.0019
127,0.3521,0.8854,0.0019
128,0.3513,0.8858,0.0019
129,0.3500,0.8867,0.0019
130,0.3513,0.8859,0.0019
131,0.3504,0.8865,0.0019
132,0.3536,0.8844,0.0019
133,0.3491,0.8873,0.0019
134,0.3516,0.8857,0.0019
135,0.3510,0.8860,0.0019
136,0.3522,0.8853,0.0019
137,0.3507,0.8863,0.0019
138,0.3529,0.8848,0.0019
139,0.3497,0.8869,0.0019
140,0.3521,0.8853,0.0019
141,0.3492,0.8872,0.0019
142,0.3514,0.8858,0.0019
143,0.3500,0.8867,0.0019
144,0.3535,0.8844,0.0019
145,0.3500,0.8867,0.0019
146,0.3545,0.8838,0.0019
147,0.3528,0.8849,0.0019
148,0.3518,0.8856,0.0019
149,0.3499,0.8868,0.0019
150,0.3519,0.8855,0.0019
151,0.3504,0.8865,0.0019
152,0.3515,0.8857,0.0019
153,0.3519,0.8855,0.0019
154,0.3526,0.8850,0.0019
155,0.3557,0.8830,0.0020
156,0.3506,0.8863,0.0019
157,0.3528,0.8849,0.0019
158,0.3529,0.8849,0.0019
159,0.3533,0.8846,0.0019
160,0.3538,0.8843,0.0019
161,0.3513,0.8859,0.0019
162,0.3514,0.8858,0.0019
163,0.3555,0.8831,0.0020
164,0.3497,0.8869,0.0019
