epoch,rrse,r2,final_loss
0,0.6495,0.6230,0.0313
1,0.5975,0.6810,0.0264
2,0.5573,0.7224,0.0230
3,0.5448,0.7347,0.0220
4,0.5358,0.7434,0.0213
5,0.5297,0.7493,0.0208
6,0.5280,0.7509,0.0207
7,0.5222,0.7563,0.0202
8,0.5185,0.7597,0.0199
9,0.5166,0.7615,0.0198
10,0.5232,0.7554,0.0203
11,0.5144,0.7635,0.0196
12,0.5153,0.7627,0.0197
13,0.5139,0.7640,0.0196
14,0.5132,0.7647,0.0195
15,0.5112,0.7665,0.0194
16,0.5123,0.7655,0.0194
17,0.5089,0.7686,0.0192
18,0.5152,0.7628,0.0197
19,0.5090,0.7685,0.0192
20,0.5089,0.7686,0.0192
21,0.5138,0.7641,0.0196
22,0.5065,0.7708,0.0190
23,0.5133,0.7645,0.0195
24,0.5088,0.7687,0.0192
25,0.5079,0.7695,0.0191
26,0.5051,0.7720,0.0189
27,0.5066,0.7706,0.0190
28,0.5033,0.7736,0.0188
29,0.5108,0.7668,0.0193
30,0.5045,0.7725,0.0189
31,0.5046,0.7724,0.0189
32,0.5060,0.7712,0.0190
33,0.5115,0.7662,0.0194
34,0.5040,0.7730,0.0188
35,0.5053,0.7719,0.0189
36,0.5042,0.7728,0.0188
37,0.5034,0.7735,0.0188
38,0.5023,0.7745,0.0187
39,0.5077,0.7697,0.0191
40,0.5170,0.7612,0.0198
41,0.5028,0.7741,0.0187
42,0.5041,0.7729,0.0188
43,0.5047,0.7724,0.0189
44,0.5050,0.7721,0.0189
45,0.5026,0.7743,0.0187
46,0.5039,0.7731,0.0188
47,0.5081,0.7693,0.0191
48,0.5051,0.7720,0.0189
49,0.5000,0.7766,0.0185
50,0.5059,0.7713,0.0190
51,0.5051,0.7720,0.0189
52,0.5074,0.7699,0.0191
53,0.5071,0.7702,0.0191
54,0.5063,0.7710,0.0190
55,0.5012,0.7756,0.0186
56,0.5057,0.7715,0.0189
57,0.5059,0.7713,0.0190
58,0.5072,0.7701,0.0191
59,0.5017,0.7751,0.0186
60,0.5028,0.7740,0.0187
61,0.5084,0.7690,0.0192
62,0.5101,0.7674,0.0193
63,0.5023,0.7746,0.0187
64,0.5042,0.7728,0.0188
65,0.5053,0.7719,0.0189
66,0.5115,0.7662,0.0194
67,0.5109,0.7668,0.0193
68,0.5147,0.7633,0.0196
69,0.5104,0.7673,0.0193
70,0.5062,0.7710,0.0190
71,0.5036,0.7734,0.0188
72,0.5120,0.7657,0.0194
73,0.5081,0.7693,0.0191
74,0.5080,0.7694,0.0191
75,0.5115,0.7662,0.0194
76,0.5171,0.7611,0.0198
77,0.5140,0.7639,0.0196
78,0.5079,0.7695,0.0191
79,0.5101,0.7675,0.0193
80,0.5120,0.7657,0.0194
