epoch,rrse,r2,final_loss
0,0.5617,0.7083,0.0049
1,0.4730,0.7931,0.0035
2,0.4393,0.8215,0.0030
3,0.4154,0.8405,0.0027
4,0.4014,0.8510,0.0025
5,0.3919,0.8580,0.0024
6,0.3802,0.8663,0.0022
7,0.3758,0.8694,0.0022
8,0.3719,0.8721,0.0021
9,0.3698,0.8736,0.0021
10,0.3681,0.8747,0.0021
11,0.3594,0.8805,0.0020
12,0.3627,0.8784,0.0020
13,0.3558,0.8830,0.0020
14,0.3534,0.8845,0.0019
15,0.3522,0.8853,0.0019
16,0.3519,0.8855,0.0019
17,0.3525,0.8851,0.0019
18,0.3490,0.8874,0.0019
19,0.3476,0.8883,0.0019
20,0.3492,0.8872,0.0019
21,0.3475,0.8883,0.0019
22,0.3481,0.8879,0.0019
23,0.3498,0.8869,0.0019
24,0.3460,0.8893,0.0019
25,0.3451,0.8899,0.0018
26,0.3544,0.8838,0.0019
27,0.3446,0.8902,0.0018
28,0.3442,0.8904,0.0018
29,0.3437,0.8908,0.0018
30,0.3432,0.8911,0.0018
31,0.3422,0.8917,0.0018
32,0.3421,0.8918,0.0018
33,0.3416,0.8921,0.0018
34,0.3421,0.8918,0.0018
35,0.3413,0.8923,0.0018
36,0.3410,0.8925,0.0018
37,0.3409,0.8925,0.0018
38,0.3424,0.8916,0.0018
39,0.3407,0.8927,0.0018
40,0.3400,0.8931,0.0018
41,0.3427,0.8914,0.0018
42,0.3397,0.8933,0.0018
43,0.3398,0.8932,0.0018
44,0.3399,0.8931,0.0018
45,0.3397,0.8933,0.0018
46,0.3388,0.8938,0.0018
47,0.3385,0.8940,0.0018
48,0.3385,0.8940,0.0018
49,0.3416,0.8921,0.0018
50,0.3416,0.8921,0.0018
51,0.3387,0.8939,0.0018
52,0.3396,0.8933,0.0018
53,0.3399,0.8932,0.0018
54,0.3472,0.8885,0.0019
55,0.3387,0.8939,0.0018
56,0.3379,0.8944,0.0018
57,0.3394,0.8935,0.0018
58,0.3375,0.8947,0.0018
59,0.3379,0.8944,0.0018
60,0.3378,0.8945,0.0018
61,0.3373,0.8948,0.0018
62,0.3404,0.8928,0.0018
63,0.3385,0.8940,0.0018
64,0.3385,0.8941,0.0018
65,0.3375,0.8946,0.0018
66,0.3370,0.8950,0.0018
67,0.3376,0.8946,0.0018
68,0.3393,0.8936,0.0018
69,0.3369,0.8951,0.0018
70,0.3406,0.8927,0.0018
71,0.3366,0.8952,0.0018
72,0.3398,0.8932,0.0018
73,0.3386,0.8940,0.0018
74,0.3406,0.8927,0.0018
75,0.3375,0.8947,0.0018
76,0.3373,0.8948,0.0018
77,0.3371,0.8949,0.0018
78,0.3370,0.8950,0.0018
79,0.3370,0.8950,0.0018
80,0.3366,0.8952,0.0018
81,0.3373,0.8948,0.0018
82,0.3373,0.8948,0.0018
83,0.3376,0.8946,0.0018
84,0.3381,0.8943,0.0018
85,0.3385,0.8940,0.0018
86,0.3380,0.8943,0.0018
87,0.3374,0.8947,0.0018
88,0.3398,0.8932,0.0018
89,0.3375,0.8947,0.0018
90,0.3374,0.8947,0.0018
91,0.3374,0.8947,0.0018
92,0.3381,0.8943,0.0018
93,0.3387,0.8939,0.0018
94,0.3367,0.8951,0.0018
95,0.3407,0.8927,0.0018
96,0.3419,0.8919,0.0018
97,0.3372,0.8949,0.0018
98,0.3408,0.8926,0.0018
99,0.3437,0.8907,0.0018
100,0.3378,0.8945,0.0018
101,0.3415,0.8921,0.0018
102,0.3383,0.8942,0.0018
